n_activities,n_resources,n_edges,avg_out_degree,avg_in_degree,max_out_degree,max_in_degree,critical_path_len,order_strength,parallel_degree,density,capacity_mean,capacity_std,capacity_min,capacity_max,demand_mean,demand_std,demand_per_activity_mean,total_work,resource_strength_mean,resource_strength_max,resource_factor,resource_usage,avg_resource_total,avg_resource_0,avg_resource_1,avg_resource_2,avg_resource_3,slack_mean,slack_std,slack_min,slack_max,slack_median,non_zero_slack_mean,critical_activity_ratio,duration_mean,duration_max,duration_min,max_predecessor_count,min_predecessor_count,max_successor_count,min_successor_count,network_complexity,order_strength_new,serial_parallel_indicator,activity_distribution,short_arc_indicator,long_arc_count,topological_floating,max_progressive_level,min_regression_level,instance_id
30,4,45,1.5,1.5,3,3,38.0,0.41330645161290325,0.10344827586206896,0.10344827586206896,10.25,3.6314597615834874,4.0,13.0,1.3083333333333333,2.622962171964277,5.233333333333333,797.0,0.3068488529014845,0.4239766081871345,0.25,1.0,1.3083333333333333,1.4333333333333333,2.1,0.2,1.5,25.733333333333334,6.1423846256066446,19.0,39.0,26.0,25.733333333333334,0.0,5.266666666666667,10.0,2.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.3448275862068966,0.6000000000000001,0.029411764705882353,16.0,0.5263157894736842,11.0,4.0,J30_1.RCP
30,4,45,1.5,1.5,3,3,42.0,0.3689516129032258,0.10344827586206896,0.10344827586206896,12.25,1.7853571071357126,10.0,14.0,1.5666666666666667,3.0379086373505193,6.266666666666667,961.0,0.31766130694702127,0.4069264069264069,0.25,1.0,1.5666666666666669,1.9666666666666666,1.2666666666666666,1.6,1.4333333333333333,29.866666666666667,8.122944184359648,21.0,46.0,30.0,29.866666666666667,0.0,5.333333333333333,10.0,1.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.27586206896551724,0.5178571428571428,0.03418803418803419,15.0,0.35119047619047616,9.0,4.0,J30_2.RCP
30,4,45,1.5,1.5,3,3,43.0,0.43548387096774194,0.10344827586206896,0.10344827586206896,10.75,1.920286436967152,8.0,13.0,1.2416666666666667,2.5657871869835365,4.966666666666667,717.0,0.2635091145833333,0.322265625,0.25,1.0,1.2416666666666667,1.2333333333333334,1.1333333333333333,1.3333333333333333,1.2666666666666666,31.7,9.44863305810246,21.0,54.0,29.5,31.7,0.0,4.7,10.0,1.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.3448275862068966,0.44210526315789483,0.05952380952380952,14.0,0.42105263157894735,11.0,5.0,J30_3.RCP
30,4,45,1.5,1.5,3,3,55.0,0.4092741935483871,0.10344827586206896,0.10344827586206896,11.0,2.8284271247461903,7.0,15.0,1.4833333333333334,2.949529152631352,5.933333333333334,1198.0,0.29862210959771934,0.43902439024390244,0.25,1.0,1.4833333333333334,0.4,1.4666666666666666,1.2666666666666666,2.8,39.233333333333334,9.587086221695424,27.0,62.0,39.0,39.233333333333334,0.0,6.133333333333334,10.0,1.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.3103448275862069,0.4444444444444444,0.05154639175257732,14.0,0.36666666666666664,10.0,4.0,J30_4.RCP
30,4,45,1.5,1.5,3,3,31.0,0.4012096774193548,0.10344827586206896,0.10344827586206896,10.5,0.8660254037844386,9.0,11.0,1.3666666666666667,2.7444894283312915,5.466666666666667,627.0,0.3233970136144049,0.5968379446640316,0.25,1.0,1.3666666666666667,1.0666666666666667,2.2666666666666666,1.0333333333333334,1.1,21.133333333333333,6.0372915192898295,15.0,37.0,19.0,21.133333333333333,0.0,3.966666666666667,8.0,1.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.3448275862068966,0.5000000000000001,0.07142857142857142,13.0,0.5210526315789473,11.0,6.0,J30_5.RCP
30,4,45,1.5,1.5,3,3,38.0,0.4576612903225806,0.10344827586206896,0.10344827586206896,11.0,1.0,10.0,12.0,1.4916666666666667,2.9154640377743566,5.966666666666667,696.0,0.2711988304093567,0.47953216374269003,0.25,1.0,1.4916666666666667,1.3333333333333333,0.9666666666666667,1.5,2.1666666666666665,23.833333333333332,4.872257063096003,19.0,35.0,24.0,23.833333333333332,0.0,4.1,10.0,1.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.3448275862068966,0.5421052631578948,0.05263157894736842,14.0,0.5526315789473685,11.0,6.0,J30_6.RCP
30,4,45,1.5,1.5,3,3,60.0,0.4435483870967742,0.10344827586206896,0.10344827586206896,10.5,1.8027756377319946,8.0,13.0,1.4666666666666666,2.9181424837652385,5.866666666666666,897.0,0.2350835275835276,0.2727272727272727,0.25,1.0,1.4666666666666668,0.8333333333333334,2.3333333333333335,1.5666666666666667,1.1333333333333333,47.53333333333333,16.306917414261825,30.0,75.0,45.0,47.53333333333333,0.0,4.933333333333334,10.0,1.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.3793103448275862,0.42424242424242425,0.04411764705882353,16.0,0.5606060606060606,12.0,7.0,J30_7.RCP
30,4,45,1.5,1.5,3,3,53.0,0.3709677419354839,0.10344827586206896,0.10344827586206896,12.0,1.4142135623730951,10.0,14.0,1.3666666666666667,2.765662468358872,5.466666666666667,1008.0,0.2576627486437613,0.3553345388788427,0.25,1.0,1.3666666666666667,1.0666666666666667,1.9333333333333333,1.5,0.9666666666666667,43.7,11.961465907933974,26.0,61.0,49.0,43.7,0.0,5.233333333333333,10.0,1.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.27586206896551724,0.5357142857142857,0.05511811023622047,12.0,0.30357142857142855,9.0,4.0,J30_8.RCP
30,4,45,1.5,1.5,3,3,42.0,0.4274193548387097,0.10344827586206896,0.10344827586206896,11.75,0.82915619758885,11.0,13.0,1.5583333333333333,2.9263055016332262,6.233333333333333,967.0,0.3256234506234506,0.42592592592592593,0.25,1.0,1.5583333333333333,2.1,1.6,0.9666666666666667,1.5666666666666667,27.766666666666666,7.834468002927122,21.0,43.0,24.5,27.766666666666666,0.0,5.333333333333333,10.0,1.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.3103448275862069,0.4444444444444444,0.06315789473684211,13.0,0.4111111111111111,10.0,5.0,J30_9.RCP
30,4,45,1.5,1.5,3,3,37.0,0.4153225806451613,0.10344827586206896,0.10344827586206896,10.25,1.299038105676658,9.0,12.0,1.2583333333333333,2.5803611934938275,5.033333333333333,731.0,0.32954545454545453,0.43636363636363634,0.25,1.0,1.2583333333333333,1.8333333333333333,0.9333333333333333,1.0666666666666667,1.2,23.033333333333335,6.041431029887613,18.0,38.0,20.0,23.033333333333335,0.0,4.966666666666667,10.0,1.0,3.0,1.0,3.0,1.0,1.5,0.0896551724137931,0.3103448275862069,0.3888888888888889,0.03260869565217391,16.0,0.3888888888888889,10.0,5.0,J30_10.RCP
